epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,271.721,7.97496,12.0633,8.42747,0.00135,0.00411,0.00069,8e-05,8.0151,13.7171,8.23467,0.000234281,0.000234281,0.000234281
2,539.135,7.8291,11.5648,8.14839,0.00202,0.04266,0.00116,0.00028,8.00054,13.4516,8.26449,0.000467606,0.000467606,0.000467606
3,814.696,7.56251,10.7161,7.601,0.00205,0.21269,0.00141,0.00041,6.82951,11.3612,7.6196,0.000696218,0.000696218,0.000696218
4,1104.25,6.8935,9.94913,7.08216,0.00272,0.07475,0.00174,0.00039,6.27473,10.8606,6.92012,0.000692794,0.000692794,0.000692794
5,1457.29,6.15787,9.33833,6.51282,0.00439,0.19086,0.00637,0.00209,5.87088,9.84295,6.53023,0.000685726,0.000685726,0.000685726
6,1801.79,5.70301,8.82334,6.00633,0.00283,0.10886,0.0059,0.00198,5.20457,9.34783,5.82548,0.000678657,0.000678657,0.000678657
7,2102.25,5.37894,8.40659,5.57562,0.00342,0.1891,0.00805,0.00268,4.91722,8.92824,5.41691,0.000671588,0.000671588,0.000671588
8,2362.94,5.07144,8.03834,5.16895,0.00465,0.25261,0.01791,0.00783,4.70701,8.4852,5.10429,0.00066452,0.00066452,0.00066452
9,2617.11,4.73852,7.67363,4.85892,0.63376,0.01412,0.01641,0.00732,4.43616,8.11697,4.84043,0.000657451,0.000657451,0.000657451
10,2871,4.49617,7.36978,4.61761,0.55115,0.02021,0.02156,0.00923,4.20624,12.4819,4.61511,0.000650383,0.000650383,0.000650383
11,3124.23,4.32273,7.16191,4.45302,0.46842,0.02984,0.02572,0.01099,4.00408,7.30202,4.42247,0.000643314,0.000643314,0.000643314
12,3378.63,4.20065,6.89379,4.26826,0.42134,0.03516,0.01722,0.00771,4.03532,7.63027,4.35511,0.000636245,0.000636245,0.000636245
13,3632.47,4.06671,6.6032,4.13888,0.53836,0.0555,0.02751,0.01248,3.84357,10.9499,4.17792,0.000629177,0.000629177,0.000629177
14,3887.06,3.95388,6.48637,4.01511,0.42219,0.05235,0.02292,0.011,3.7503,12.2459,4.15407,0.000622108,0.000622108,0.000622108
15,4140.81,3.93882,6.42165,3.97309,0.46711,0.07136,0.05095,0.02458,3.70342,6.69886,4.08295,0.00061504,0.00061504,0.00061504
16,4394.97,3.88473,6.27546,3.91599,0.55762,0.06525,0.04951,0.02416,3.63755,6.38549,4.04858,0.000607971,0.000607971,0.000607971
17,4649.4,3.84168,6.14001,3.84867,0.4643,0.07368,0.04996,0.02546,3.63143,7.18519,3.99402,0.000600902,0.000600902,0.000600902
18,4904.43,3.82,5.99067,3.81966,0.4711,0.08384,0.04866,0.02454,3.62334,6.14388,3.96187,0.000593834,0.000593834,0.000593834
19,5159.9,3.78597,5.94184,3.7317,0.46998,0.07334,0.05349,0.02652,3.58085,7.03901,3.99243,0.000586765,0.000586765,0.000586765
20,5414.64,3.78347,5.88126,3.7221,0.39089,0.07643,0.06354,0.03304,3.49856,6.06821,3.81806,0.000579697,0.000579697,0.000579697
21,5669.4,3.6962,5.84995,3.69812,0.37748,0.07117,0.06459,0.03219,3.61101,6.59515,3.95819,0.000572628,0.000572628,0.000572628
22,5921.49,3.71101,5.69932,3.65617,0.37519,0.09824,0.06698,0.03472,3.50075,5.94988,3.8062,0.000565559,0.000565559,0.000565559
23,6175.75,3.66049,5.70041,3.63762,0.40998,0.08968,0.07983,0.03968,3.49017,5.53282,3.77635,0.000558491,0.000558491,0.000558491
24,6429.02,3.64506,5.65345,3.59685,0.39236,0.08615,0.0774,0.03994,3.39953,5.49897,3.68486,0.000551422,0.000551422,0.000551422
25,6680.97,3.55817,5.63847,3.55051,0.40873,0.10369,0.08008,0.03952,3.40956,5.46765,3.68372,0.000544354,0.000544354,0.000544354
